date,block_number,token_address,token_name,token_decimals,token_balance
2022-07-11,15124465,ether,ethereum,18,661921.9843379057
2022-07-12,15130976,ether,ethereum,18,662566.32058099
2022-07-13,15137388,ether,ethereum,18,663469.1975451631
2022-07-14,15143928,ether,ethereum,18,664094.4638077464
2022-07-15,15150364,ether,ethereum,18,664981.1110304957
2022-07-16,15156812,ether,ethereum,18,665323.3064277737
2022-07-17,15163238,ether,ethereum,18,665785.1193605007
2022-07-18,15169694,ether,ethereum,18,666057.741273893
2022-07-19,15176170,ether,ethereum,18,668400.4211436711
2022-07-20,15182613,ether,ethereum,18,668509.7333089705
2022-07-21,15189087,ether,ethereum,18,670178.2080874662
2022-07-22,15195555,ether,ethereum,18,671420.6298155633
2022-07-23,15202011,ether,ethereum,18,671720.6715422691
2022-07-24,15208412,ether,ethereum,18,672254.6948966701
2022-07-25,15214807,ether,ethereum,18,675517.4790862296
2022-07-26,15221187,ether,ethereum,18,682384.9330277769
2022-07-27,15227620,ether,ethereum,18,682480.6503644133
2022-07-28,15234058,ether,ethereum,18,680358.1106913933
2022-07-29,15240481,ether,ethereum,18,679858.0435388569
2022-07-30,15246902,ether,ethereum,18,681183.0384875172
2022-07-31,15253305,ether,ethereum,18,682759.0489286839
2022-08-01,15259746,ether,ethereum,18,684715.1657485306
2022-08-02,15266192,ether,ethereum,18,685996.1459469236
2022-08-03,15272547,ether,ethereum,18,687506.2407753841
2022-08-04,15278936,ether,ethereum,18,691365.9504542721
2022-08-05,15285447,ether,ethereum,18,692435.5146076253
2022-08-06,15291832,ether,ethereum,18,693369.2754535901
2022-08-07,15298282,ether,ethereum,18,695000.6061184881
2022-08-08,15304705,ether,ethereum,18,696016.849667207
2022-08-09,15311050,ether,ethereum,18,697863.2635023514
2022-08-10,15317425,ether,ethereum,18,699425.2419075869
2022-08-11,15323739,ether,ethereum,18,700245.6986383512
2022-08-12,15330082,ether,ethereum,18,702919.8523923785
2022-08-13,15336462,ether,ethereum,18,705087.1043926757
2022-08-14,15342780,ether,ethereum,18,705279.3997581139
2022-08-15,15349050,ether,ethereum,18,706265.3144165516
2022-08-16,15355431,ether,ethereum,18,708930.8037713044
2022-08-17,15361718,ether,ethereum,18,710695.848753811
2022-08-18,15368062,ether,ethereum,18,709994.1179373688
2022-08-19,15374318,ether,ethereum,18,715719.5841993229
2022-08-20,15380671,ether,ethereum,18,716543.0341561178
2022-08-21,15387034,ether,ethereum,18,716865.0265301488
2022-08-22,15393298,ether,ethereum,18,719586.1468830314
2022-08-23,15399651,ether,ethereum,18,719510.9031545223
2022-08-24,15405907,ether,ethereum,18,721930.7970371299
2022-08-25,15412117,ether,ethereum,18,722165.9945512897
2022-08-26,15418354,ether,ethereum,18,721503.0209117383
2022-08-27,15424590,ether,ethereum,18,722914.6772159354
2022-08-28,15430829,ether,ethereum,18,724583.2395491119
2022-08-29,15437156,ether,ethereum,18,724976.9766924275
2022-08-30,15443367,ether,ethereum,18,725755.2223358916
2022-08-31,15449617,ether,ethereum,18,0.0
2022-09-01,15455879,ether,ethereum,18,0.0
2022-09-02,15462172,ether,ethereum,18,0.0
2022-09-03,15468372,ether,ethereum,18,0.0
2022-09-04,15474641,ether,ethereum,18,0.0
2022-09-05,15480812,ether,ethereum,18,0.0
2022-09-06,15487071,ether,ethereum,18,0.0
2022-09-07,15493289,ether,ethereum,18,0.0
2022-09-08,15499581,ether,ethereum,18,0.0
2022-09-09,15505646,ether,ethereum,18,0.0
2022-09-10,15511690,ether,ethereum,18,0.0
2022-09-11,15517756,ether,ethereum,18,0.0
2022-09-12,15523803,ether,ethereum,18,0.0
2022-09-13,15529867,ether,ethereum,18,0.0
2022-09-14,15535776,ether,ethereum,18,0.0
2022-09-15,15542503,ether,ethereum,18,0.0
2022-09-16,15549595,ether,ethereum,18,0.0
2022-09-17,15556725,ether,ethereum,18,0.0
2022-09-18,15563855,ether,ethereum,18,0.0
2022-09-19,15570980,ether,ethereum,18,0.0
